epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7337,0.39647,0.2682,0.89879,0.99405,0.99598,0.99425,0.934,0.32481,0.18277,0.86631,0.0677222,0.00065873,0.00065873
2,32.9545,0.40727,0.27028,0.89487,0.99401,0.99589,0.99424,0.93154,0.33299,0.18466,0.86888,0.0350118,0.00128166,0.00128166
3,47.2595,0.40569,0.28057,0.89094,0.99412,0.99583,0.99383,0.92426,0.36312,0.20996,0.8725,0.00225741,0.00186059,0.00186059
4,61.2597,0.40661,0.28447,0.89294,0.99478,0.99504,0.99415,0.92849,0.35391,0.20862,0.87422,0.001802,0.001802,0.001802
5,75.9491,0.40077,0.28408,0.89424,0.99377,0.99594,0.99422,0.92507,0.34069,0.20286,0.87275,0.001736,0.001736,0.001736
6,89.6951,0.40301,0.2763,0.89225,0.99514,0.99501,0.99385,0.92798,0.35187,0.19591,0.87737,0.00167,0.00167,0.00167
7,103.181,0.40334,0.26896,0.89089,0.9932,0.99632,0.99432,0.93137,0.35612,0.20024,0.8731,0.001604,0.001604,0.001604
8,116.858,0.39951,0.27109,0.89294,0.99518,0.99578,0.99317,0.92835,0.32736,0.1904,0.87073,0.001538,0.001538,0.001538
9,130.163,0.40897,0.27889,0.89755,0.99319,0.99603,0.99401,0.92948,0.33245,0.17988,0.87482,0.001472,0.001472,0.001472
10,143.501,0.3967,0.26648,0.90016,0.99346,0.99637,0.99403,0.9323,0.31946,0.17574,0.87567,0.001406,0.001406,0.001406
11,156.915,0.40405,0.2676,0.89496,0.99401,0.99623,0.99388,0.93054,0.32962,0.18413,0.87403,0.00134,0.00134,0.00134
12,170.372,0.39186,0.26498,0.89262,0.99422,0.99628,0.99429,0.92658,0.33579,0.1823,0.87771,0.001274,0.001274,0.001274
13,183.706,0.38509,0.2606,0.89079,0.99333,0.9969,0.99422,0.92806,0.35083,0.17568,0.88124,0.001208,0.001208,0.001208
14,197.319,0.39103,0.26197,0.8923,0.99241,0.99448,0.99444,0.92969,0.34227,0.1782,0.87717,0.001142,0.001142,0.001142
15,210.731,0.37948,0.254,0.89233,0.99513,0.98749,0.99404,0.92936,0.33236,0.17586,0.87678,0.001076,0.001076,0.001076
16,224.03,0.38252,0.25434,0.89023,0.99192,0.99652,0.99408,0.93171,0.34513,0.17877,0.87797,0.00101,0.00101,0.00101
17,237.403,0.37682,0.25595,0.8953,0.99448,0.98972,0.99418,0.93012,0.34478,0.18429,0.87718,0.000944,0.000944,0.000944
18,250.867,0.37772,0.24952,0.89255,0.99483,0.98505,0.99321,0.93143,0.3484,0.18494,0.8785,0.000878,0.000878,0.000878
19,264.391,0.37613,0.25031,0.88919,0.99499,0.98974,0.99403,0.93412,0.32237,0.1767,0.87588,0.000812,0.000812,0.000812
20,278.237,0.36572,0.24525,0.88685,0.99285,0.99649,0.99386,0.93577,0.30266,0.17332,0.87052,0.000746,0.000746,0.000746
21,311.356,0.3084,0.19575,0.85589,0.99315,0.99668,0.99327,0.92551,0.35233,0.19149,0.87467,0.00068,0.00068,0.00068
22,324.453,0.3078,0.1927,0.85665,0.99465,0.99574,0.99406,0.92512,0.3256,0.18016,0.87117,0.000614,0.000614,0.000614
23,337.553,0.29764,0.1889,0.85404,0.99385,0.99645,0.9944,0.92591,0.31464,0.176,0.87705,0.000548,0.000548,0.000548
24,350.618,0.298,0.18655,0.85088,0.99509,0.99573,0.99416,0.92357,0.33095,0.17868,0.87287,0.000482,0.000482,0.000482
25,363.754,0.29371,0.18549,0.84747,0.99423,0.99635,0.99428,0.93066,0.30459,0.16787,0.87317,0.000416,0.000416,0.000416
26,376.851,0.28922,0.18466,0.84664,0.99412,0.99626,0.99408,0.92855,0.32599,0.17708,0.87575,0.00035,0.00035,0.00035
27,390.023,0.28869,0.18249,0.84475,0.99465,0.99591,0.99419,0.93022,0.32823,0.17037,0.87576,0.000284,0.000284,0.000284
28,403.7,0.28453,0.17884,0.84914,0.99482,0.99563,0.99415,0.93269,0.31335,0.16777,0.87281,0.000218,0.000218,0.000218
29,416.717,0.28171,0.17927,0.84524,0.99478,0.99573,0.99408,0.93143,0.32553,0.17257,0.87538,0.000152,0.000152,0.000152
30,430.004,0.27954,0.17813,0.84396,0.99461,0.99619,0.99395,0.933,0.30988,0.15925,0.8758,8.6e-05,8.6e-05,8.6e-05
